model_name,epochs,optimizer,val_loss,val_accuracy,test_loss,test_accuracy
Net1,50,adam,2.0993624841747573,0.2964824120603015,2.1720277130013645,0.22772277227722773
Net1,100,adam,2.137267080982726,0.20603015075376885,2.2220788922640358,0.19801980198019803
Net2,50,adam,2.308417142935135,0.05527638190954774,2.301061252556225,0.09900990099009901
Net2,100,adam,2.3019368001564064,0.08542713567839195,2.3079386772495685,0.10891089108910891
Net3,50,adam,2.303590927890797,0.08542713567839195,2.2993342947251727,0.10891089108910891
Net3,100,adam,2.303991541790603,0.09045226130653267,2.2999176294496744,0.13861386138613863
Net4,50,rmsprop,2.1846323702203567,0.11055276381909548,2.2931049767107066,0.1188118811881188
Net1,50,adam,2.2689923667907714,0.215,2.279123754501343,0.19
Net1,50,adam,2.2689923667907714,0.215,2.279123754501343,0.19
Net1,100,adam,1.8010127305984498,0.39,1.8988819789886475,0.38
Net2,50,adam,2.2726586389541628,0.66,2.1148023241758347,0.56
Net2,100,adam,2.2261512804031374,0.62,1.8893153071403503,0.53
Net3,50,adam,1.8611632633209227,0.32,1.9047318267822266,0.26
Net3,100,adam,1.8717323780059814,0.44,1.8120811700820922,0.4
Net4,50,rmsprop,1.8822498893737794,0.345,1.816579966545105,0.33
Net4,100,rmsprop,2.2190624237060548,0.175,2.2704993963241575,0.15
Net1,50,adam,2.2689923667907714,0.215,2.279123754501343,0.19
Net1,100,adam,1.8010127305984498,0.39,1.8988819789886475,0.38
Net2,50,adam,2.1333312511444094,0.66,1.814484984278679,0.59
Net2,100,adam,2.478153848648071,0.62,2.262223128080368,0.57
Net1,50,adam,2.1590260314941405,0.195,2.207100887298584,0.16
Net1,100,adam,2.1286634826660156,0.22,2.1194671392440796,0.18
Net1,50,adam,2.300892219543457,0.1,2.3014775943756103,0.1
Net1,100,adam,2.1223851299285887,0.21,2.1310393524169924,0.18
Net5,60,adam,2.0023560762405395,0.275,1.9760945892333985,0.19
Net6,60,adam,2.296170959472656,0.245,2.3291260480880736,0.26
Net1,50,adam,2.0708521366119386,0.29,2.1191743659973143,0.23
Net1,100,adam,1.8243238592147828,0.365,1.8905005550384522,0.33
Net2,50,adam,1.9111075115203857,0.645,1.9010288333892822,0.59
Net2,100,adam,2.395977382659912,0.615,2.2435554337501524,0.56
Net3,50,adam,2.000516414642334,0.695,1.9288399118185042,0.64
Net3,100,adam,1.5578436350822449,0.7,1.527135157585144,0.6
Net4,50,rmsprop,4.133203773498535,0.555,4.520855484008789,0.45
Net4,100,rmsprop,3.695962438583374,0.535,3.573914430141449,0.48
Net5,60,adam,2.302699632644653,0.1,2.302696762084961,0.1
Net5,60,adam,1.8339993810653688,0.47,1.660578818321228,0.45
Net6,60,adam,2.159788932800293,0.385,1.9944415616989135,0.38
Net6,60,adam,2.018037157058716,0.405,1.7592623770236968,0.42
Net5,80,adam,1.7227219581604003,0.525,1.7440435457229615,0.45
Net1,50,adam,1.9366475499455054,0.32663316582914576,1.937728461652699,0.297029702970297
Net1,100,adam,1.831310033199176,0.38190954773869346,1.8340766359083722,0.27722772277227725
Net2,50,adam,1.458941723833132,0.4824120603015075,1.2310014809712324,0.5544554455445545
Net2,100,adam,1.445174999273003,0.5376884422110553,1.1447637553262238,0.594059405940594
Net3,50,adam,1.0433100018669013,0.6683417085427136,0.7893075423665566,0.7425742574257426
Net3,100,adam,1.1269510343446205,0.7135678391959799,0.9476648628121556,0.7227722772277227
Net4,50,rmsprop,1.5074339957542755,0.6080402010050251,1.3390007892457565,0.5643564356435643
Net4,100,rmsprop,1.3389645674869644,0.6834170854271356,1.1268669732726446,0.6534653465346535
Net5,80,adam,1.7990380711291902,0.5628140703517588,1.5700746031090764,0.504950495049505
Net6,80,adam,2.0680761696705265,0.49748743718592964,1.7401076024121578,0.5445544554455446
Net5,80,adam,2.1649415804513135,0.5125628140703518,1.7642160288178095,0.6039603960396039
Net1,50,adam,1.8369690233738578,0.35175879396984927,1.910820469997897,0.31683168316831684
Net1,100,adam,1.740975699832092,0.41708542713567837,1.8796060899696727,0.36633663366336633
Net2,50,adam,1.3806763593874984,0.542713567839196,1.2926814190231928,0.5445544554455446
Net2,100,adam,1.4106391710252617,0.5376884422110553,1.3093878833374175,0.5346534653465347
Net3,50,adam,0.9951142216447609,0.6733668341708543,0.9440069399257698,0.7029702970297029
Net3,100,adam,0.9116793343769246,0.7286432160804021,0.8051899113867542,0.7524752475247525
Net4,50,rmsprop,1.2746666639893498,0.6884422110552764,1.050649643534481,0.7128712871287128
Net4,100,rmsprop,1.8045463573992553,0.6934673366834171,1.520120597121739,0.7227722772277227
Net5,80,adam,1.1758626747131347,0.765,1.3103433635085822,0.72
Net6,80,adam,1.035384838581085,0.725,1.0838403224945068,0.68
